Date,Total,Coronavirus
2020-03-19T12:52:34-05:00,129920,60
2020-03-19T18:05:51-05:00,129920,60
2020-03-19T18:10:35-05:00,129920,60
2020-03-19T18:11:21-05:00,129920,60
2020-03-19T18:41:27-05:00,129920,60
2020-03-19T19:11:33-05:00,129920,60
2020-03-19T19:41:39-05:00,129920,60
2020-03-19T20:11:45-05:00,129920,60
2020-03-19T20:41:51-05:00,129920,60
2020-03-19T21:11:57-05:00,129920,60
2020-03-19T21:42:03-05:00,129920,60
2020-03-19T22:12:09-05:00,130294,62
2020-03-19T22:42:15-05:00,130294,62
2020-03-19T22:18:18-05:00,130294,62
2020-03-19T23:21:00-05:00,130294,62
2020-03-19T23:51:06-05:00,130294,62
2020-03-20T00:21:12-05:00,130294,62
2020-03-20T00:51:18-05:00,130294,62
2020-03-20T01:21:24-05:00,130294,62
2020-03-20T01:51:30-05:00,130294,62
2020-03-20T02:21:36-05:00,130731,61
2020-03-20T02:51:43-05:00,130731,61
2020-03-20T03:21:49-05:00,130731,61
2020-03-20T03:51:55-05:00,130731,61
2020-03-20T04:22:01-05:00,130731,61
2020-03-20T04:52:07-05:00,130731,61
2020-03-20T05:22:13-05:00,130731,61
2020-03-20T05:52:19-05:00,130731,61
2020-03-20T06:22:25-05:00,131444,62
2020-03-20T06:52:34-05:00,131444,62
2020-03-20T07:22:41-05:00,131444,62
2020-03-20T07:52:47-05:00,131444,62
2020-03-20T08:22:53-05:00,131444,62
2020-03-20T08:53:00-05:00,131444,62
2020-03-20T09:23:06-05:00,131444,62
2020-03-20T09:53:12-05:00,131444,62
2020-03-20T10:23:18-05:00,132241,62
2020-03-20T10:53:24-05:00,132241,62
2020-03-20T11:23:30-05:00,132241,62
2020-03-20T11:53:36-05:00,132241,62
2020-03-20T12:23:42-05:00,132241,62
2020-03-20T12:53:48-05:00,132241,62
2020-03-20T13:23:54-05:00,132241,62
2020-03-20T13:54:00-05:00,132241,62
2020-03-20T14:24:07-05:00,133234,66
2020-03-20T14:54:13-05:00,133234,66
2020-03-20T15:24:19-05:00,133234,66
2020-03-20T15:54:25-05:00,133234,66
2020-03-20T16:24:31-05:00,133234,66
2020-03-20T16:54:37-05:00,133234,66
2020-03-20T17:24:43-05:00,133234,66
2020-03-20T17:54:49-05:00,133234,66
2020-03-20T18:24:57-05:00,134300,67
2020-03-20T18:55:03-05:00,134300,67
2020-03-20T19:25:09-05:00,134300,67
2020-03-20T19:55:15-05:00,134300,67
2020-03-20T20:25:22-05:00,134300,67
2020-03-20T20:55:28-05:00,134300,67
2020-03-20T21:25:34-05:00,134300,67
2020-03-20T21:55:40-05:00,134300,67
2020-03-20T22:25:47-05:00,135233,69
2020-03-20T22:55:54-05:00,135233,69
2020-03-20T23:26:00-05:00,135233,69
2020-03-20T23:56:06-05:00,135233,69
2020-03-21T00:26:12-05:00,135233,69
2020-03-21T00:56:18-05:00,135233,69
2020-03-21T01:26:24-05:00,135233,69
2020-03-21T01:56:30-05:00,135233,69
2020-03-21T02:26:38-05:00,136127,70
2020-03-21T02:56:44-05:00,136127,70
2020-03-21T03:26:50-05:00,136127,70
2020-03-21T03:56:56-05:00,136127,70
2020-03-21T04:27:02-05:00,136127,70
2020-03-21T04:57:08-05:00,136127,70
2020-03-21T05:27:14-05:00,136127,70
2020-03-21T05:57:20-05:00,136127,70
2020-03-21T06:27:27-05:00,137024,71
2020-03-21T06:57:33-05:00,137024,71
2020-03-21T07:27:39-05:00,137024,71
2020-03-21T07:57:45-05:00,137024,71
2020-03-21T08:27:51-05:00,137024,71
2020-03-21T08:57:57-05:00,137024,71
2020-03-21T09:28:03-05:00,137024,71
2020-03-21T09:58:09-05:00,137024,71
2020-03-21T10:28:16-05:00,137874,72
2020-03-21T10:58:23-05:00,137874,72
2020-03-21T11:28:29-05:00,137874,72
2020-03-21T11:58:35-05:00,137874,72
2020-03-21T12:28:41-05:00,137874,72
2020-03-21T12:58:47-05:00,137874,72
2020-03-21T13:28:53-05:00,137874,72
2020-03-21T13:58:59-05:00,137874,72
2020-03-21T14:29:07-05:00,138876,75
2020-03-21T14:59:13-05:00,138876,75
2020-03-21T15:29:19-05:00,138876,75
2020-03-21T15:59:56-05:00,138876,75
2020-03-21T16:30:02-05:00,138876,75
2020-03-21T17:00:08-05:00,138876,75
2020-03-21T17:30:14-05:00,138876,75
2020-03-21T18:00:20-05:00,138876,75
2020-03-21T18:30:26-05:00,139823,76
2020-03-21T19:00:32-05:00,139823,76
2020-03-21T19:30:38-05:00,139823,76
2020-03-21T20:00:44-05:00,139823,76
2020-03-21T20:30:50-05:00,139823,76
2020-03-21T21:00:56-05:00,139823,76
2020-03-21T21:31:02-05:00,139823,76
2020-03-21T22:01:08-05:00,139823,76
2020-03-21T22:31:14-05:00,140747,77
2020-03-21T23:01:21-05:00,140747,77
2020-03-21T23:31:27-05:00,140747,77
2020-03-22T00:01:33-05:00,140747,77
2020-03-22T00:31:39-05:00,140747,77
2020-03-22T01:01:45-05:00,140747,77
2020-03-22T01:31:51-05:00,140747,77
2020-03-22T02:02:01-05:00,141436,79
2020-03-22T02:32:07-05:00,141436,79
2020-03-22T03:02:13-05:00,141436,79
2020-03-22T03:32:19-05:00,141436,79
2020-03-22T04:02:25-05:00,141436,79
2020-03-22T04:32:31-05:00,141436,79
2020-03-22T05:02:37-05:00,141436,79
2020-03-22T05:32:43-05:00,141436,79
2020-03-22T06:02:50-05:00,142368,82
2020-03-22T06:32:56-05:00,142368,82
2020-03-22T07:03:02-05:00,142368,82
2020-03-22T07:33:08-05:00,142368,82
2020-03-22T08:03:14-05:00,142368,82
2020-03-22T08:33:20-05:00,142368,82
2020-03-22T09:03:26-05:00,142368,82
2020-03-22T09:33:32-05:00,142368,82
2020-03-22T10:03:39-05:00,143348,85
2020-03-22T10:33:45-05:00,143348,85
2020-03-22T11:03:51-05:00,143348,85
2020-03-22T11:33:57-05:00,143348,85
2020-03-22T12:04:03-05:00,143348,85
2020-03-22T12:34:09-05:00,143348,85
2020-03-22T13:04:15-05:00,143348,85
2020-03-22T13:34:21-05:00,143348,85
2020-03-22T14:04:30-05:00,144448,86
2020-03-22T14:34:36-05:00,144448,86
2020-03-22T15:04:42-05:00,144448,86
2020-03-22T15:34:48-05:00,144448,86
2020-03-22T16:04:54-05:00,144448,86
2020-03-22T16:35:00-05:00,144448,86
2020-03-22T17:05:06-05:00,144448,86
2020-03-22T17:35:12-05:00,144448,86
2020-03-22T18:05:19-05:00,145615,89
2020-03-22T18:35:25-05:00,145615,89
2020-03-22T19:05:31-05:00,145615,89
2020-03-22T19:35:37-05:00,145615,89
2020-03-22T20:05:43-05:00,145615,89
2020-03-22T20:35:49-05:00,145615,89
2020-03-22T21:05:57-05:00,145615,89
2020-03-22T21:36:03-05:00,145615,89
2020-03-22T22:06:12-05:00,146596,91
2020-03-22T22:36:18-05:00,146596,91
2020-03-22T23:06:24-05:00,146596,91
2020-03-22T23:36:30-05:00,146596,91
2020-03-23T00:06:36-05:00,146596,91
2020-03-23T00:36:42-05:00,146596,91
2020-03-23T01:06:48-05:00,146596,91
2020-03-23T01:36:54-05:00,146596,91
2020-03-23T02:07:11-05:00,147430,91
2020-03-23T02:37:17-05:00,147430,91
2020-03-23T03:07:23-05:00,147430,91
2020-03-23T03:37:29-05:00,147430,91
2020-03-23T04:07:35-05:00,147430,91
2020-03-23T04:37:41-05:00,147430,91
2020-03-23T05:07:47-05:00,147430,91
2020-03-23T05:37:53-05:00,147430,91
2020-03-23T06:08:02-05:00,148336,93
2020-03-23T06:38:09-05:00,148336,93
2020-03-23T07:08:15-05:00,148336,93
2020-03-23T07:38:21-05:00,148336,93
2020-03-23T08:08:27-05:00,148336,93
2020-03-23T08:38:33-05:00,148336,93
2020-03-23T09:08:39-05:00,148336,93
2020-03-23T09:38:45-05:00,148336,93
2020-03-23T10:08:52-05:00,149252,95
2020-03-23T10:38:58-05:00,149252,95
2020-03-23T11:09:04-05:00,149252,95
2020-03-23T11:39:10-05:00,149252,95
2020-03-23T12:09:16-05:00,149252,95
2020-03-23T12:39:22-05:00,149252,95
2020-03-23T13:09:28-05:00,149252,95
2020-03-23T13:39:34-05:00,149252,95
2020-03-23T14:09:42-05:00,150286,96
2020-03-23T14:39:49-05:00,150286,96
2020-03-23T15:09:55-05:00,150286,96
2020-03-23T15:40:01-05:00,150286,96
2020-03-23T16:10:07-05:00,150286,96
2020-03-23T16:40:13-05:00,150286,96
2020-03-23T17:10:19-05:00,150286,96
2020-03-23T17:40:25-05:00,150286,96
2020-03-23T18:10:35-05:00,151387,100
2020-03-23T18:40:41-05:00,151387,100
2020-03-23T19:10:47-05:00,151387,100
2020-03-23T19:40:53-05:00,151387,100
2020-03-23T20:11:00-05:00,151387,100
2020-03-23T20:41:06-05:00,151387,100
2020-03-23T21:11:12-05:00,151387,100
2020-03-23T21:41:18-05:00,151387,100
2020-03-23T22:11:29-05:00,152251,100
2020-03-23T22:41:35-05:00,152251,100
2020-03-23T23:11:41-05:00,152251,100
2020-03-23T23:41:47-05:00,152251,100
2020-03-24T00:11:53-05:00,152251,100
2020-03-24T00:41:59-05:00,152251,100
2020-03-24T01:12:05-05:00,152251,100
2020-03-24T01:42:11-05:00,152251,100
2020-03-24T02:12:19-05:00,153153,99
2020-03-24T02:42:25-05:00,153153,99
2020-03-24T03:12:31-05:00,153153,99
2020-03-24T03:42:37-05:00,153153,99
2020-03-24T04:12:43-05:00,153153,99
2020-03-24T04:42:49-05:00,153153,99
2020-03-24T05:12:55-05:00,153153,99
2020-03-24T05:43:01-05:00,153153,99
2020-03-24T06:13:08-05:00,154041,102
2020-03-24T06:43:14-05:00,154041,102
2020-03-24T07:13:20-05:00,154041,102
2020-03-24T07:43:26-05:00,154041,102
2020-03-24T08:13:32-05:00,154041,102
2020-03-24T08:43:38-05:00,154041,102
2020-03-24T09:13:44-05:00,154041,102
2020-03-24T09:43:50-05:00,154041,102
2020-03-24T10:13:58-05:00,154964,102
2020-03-24T10:44:04-05:00,154964,102
2020-03-24T11:14:10-05:00,154964,102
2020-03-24T11:44:16-05:00,154964,102
2020-03-24T12:14:22-05:00,154964,102
2020-03-24T12:44:28-05:00,154964,102
2020-03-24T13:14:34-05:00,154964,102
2020-03-24T13:44:40-05:00,154964,102
2020-03-24T14:14:50-05:00,155966,105
2020-03-24T14:44:56-05:00,155966,105
2020-03-24T15:15:02-05:00,155966,105
2020-03-24T15:45:08-05:00,155966,105
2020-03-24T16:15:15-05:00,155966,105
2020-03-24T16:45:21-05:00,155966,105
2020-03-24T17:15:27-05:00,155966,105
2020-03-24T17:45:33-05:00,155966,105
2020-03-24T18:15:41-05:00,156991,107
2020-03-24T18:45:48-05:00,156991,107
2020-03-24T19:15:54-05:00,156991,107
2020-03-24T19:46:00-05:00,156991,107
2020-03-24T20:16:06-05:00,156991,107
2020-03-24T20:46:12-05:00,156991,107
2020-03-24T21:16:18-05:00,156991,107
2020-03-24T21:46:24-05:00,156991,107
2020-03-24T22:16:31-05:00,157851,110
2020-03-24T22:46:37-05:00,157851,110
2020-03-24T23:16:43-05:00,157851,110
2020-03-24T23:46:49-05:00,157851,110
2020-03-25T00:16:55-05:00,157851,110
2020-03-25T00:47:01-05:00,157851,110
2020-03-25T01:17:07-05:00,157851,110
2020-03-25T01:47:14-05:00,157851,110
2020-03-25T02:17:22-05:00,157737,111
2020-03-25T02:47:28-05:00,157737,111
2020-03-25T03:17:34-05:00,157737,111
2020-03-25T03:47:40-05:00,157737,111
2020-03-25T04:17:46-05:00,157737,111
2020-03-25T04:47:52-05:00,157737,111
2020-03-25T05:17:58-05:00,157737,111
2020-03-25T05:48:04-05:00,157737,111
2020-03-25T06:18:11-05:00,158656,111
2020-03-25T06:48:17-05:00,158656,111
2020-03-25T07:18:23-05:00,158656,111
2020-03-25T07:48:29-05:00,158656,111
2020-03-25T08:18:35-05:00,158656,111
2020-03-25T08:48:41-05:00,158656,111
2020-03-25T09:18:47-05:00,158656,111
2020-03-25T09:48:53-05:00,158656,111
2020-03-25T10:19:00-05:00,159600,112
2020-03-25T10:49:06-05:00,159600,112
2020-03-25T11:19:12-05:00,159600,112
2020-03-25T11:49:18-05:00,159600,112
2020-03-25T12:19:24-05:00,159600,112
2020-03-25T12:49:30-05:00,159600,112
2020-03-25T13:19:36-05:00,159600,112
2020-03-25T13:49:42-05:00,159600,112
2020-03-25T14:19:51-05:00,160619,114
2020-03-25T14:49:57-05:00,160619,114
2020-03-25T15:20:03-05:00,160619,114
2020-03-25T15:50:09-05:00,160619,114
2020-03-25T16:20:15-05:00,160619,114
2020-03-25T16:50:21-05:00,160619,114
2020-03-25T17:20:27-05:00,160619,114
2020-03-25T17:50:33-05:00,160619,114
2020-03-25T18:20:41-05:00,161711,116
2020-03-25T18:50:48-05:00,161711,116
2020-03-25T19:20:54-05:00,161711,116
2020-03-25T19:51:00-05:00,161711,116
2020-03-25T20:21:06-05:00,161711,116
